,Enthu
0,0.245
1,0.4659999999999999
2,0.055
3,-0.11
4,0.515
5,0.27
6,-0.165
7,0.38
8,0.4659999999999999
9,0.17500000000000002
10,0.46
11,0.39
12,0.4659999999999999
13,-0.10500000000000001
14,-0.12000000000000001
15,-0.14
16,0.0
17,0.4659999999999999
18,0.4659999999999999
19,0.4659999999999999
20,0.034999999999999996
21,0.06
22,0.145
23,0.0
24,0.31999999999999995
25,0.2
26,0.325
27,0.08
28,0.4659999999999999
29,0.06
30,0.20500000000000002
31,0.33499999999999996
32,0.215
33,0.4659999999999999
34,0.10499999999999998
35,0.355
36,0.09000000000000001
37,0.4659999999999999
38,0.255
39,-0.11
40,0.37
41,0.11500000000000002
42,0.3
43,0.4659999999999999
44,0.4659999999999999
45,0.39499999999999996
46,-0.13
47,0.33999999999999997
48,0.22
49,0.4659999999999999
50,0.39499999999999996
51,-0.11
52,-0.15500000000000003
53,0.22
54,0.305
55,-0.015000000000000013
56,0.495
57,0.385
58,-0.1
59,0.265
60,0.04
61,0.12
62,-0.05500000000000001
63,0.4659999999999999
64,0.16499999999999998
65,0.18000000000000002
66,0.024999999999999994
67,0.135
68,0.33999999999999997
69,0.2
70,0.095
71,0.27
72,-0.15500000000000003
73,0.4659999999999999
74,0.32
75,0.08499999999999999
76,0.12
77,0.255
78,0.4659999999999999
79,0.22499999999999998
80,0.385
81,0.1
82,0.38
83,-0.1
84,0.31
85,0.6
86,0.07500000000000001
87,-0.11500000000000002
88,0.215
89,-0.07
90,-0.06
91,0.4659999999999999
92,0.38
93,0.4
94,0.42000000000000004
95,0.24000000000000002
96,-0.04000000000000001
97,0.065
98,0.3
99,0.495
100,0.02
101,-0.09
102,0.125
103,-0.19
104,0.4659999999999999
105,0.4659999999999999
106,0.015
107,0.38
108,0.09000000000000001
109,0.19999999999999998
110,0.185
111,0.055
112,0.135
113,0.0
114,0.024999999999999994
115,0.07500000000000001
116,0.10499999999999998
117,0.26
118,-0.125
119,0.30000000000000004
120,0.38
121,0.4659999999999999
122,0.5299999999999999
123,0.4659999999999999
124,0.09000000000000001
125,-0.025
126,0.195
127,0.095
128,0.09000000000000001
129,0.22
130,0.33999999999999997
131,0.4659999999999999
132,0.4659999999999999
133,0.20500000000000002
134,0.024999999999999994
135,0.4
136,0.4659999999999999
137,0.415
138,0.4659999999999999
139,0.01999999999999999
140,0.4659999999999999
141,0.48
142,0.4659999999999999
143,0.12
144,0.22999999999999998
145,0.4659999999999999
146,0.16
147,0.4659999999999999
148,0.4659999999999999
149,0.4659999999999999
150,0.11499999999999999
151,0.63
152,0.335
153,0.41000000000000003
154,-0.07000000000000002
155,0.4659999999999999
156,0.31999999999999995
157,0.215
158,0.4659999999999999
159,-0.10500000000000001
160,0.23500000000000001
161,0.4659999999999999
162,0.4659999999999999
163,0.4659999999999999
164,0.05499999999999999
165,-0.065
166,0.18
167,0.4659999999999999
168,0.16999999999999998
169,0.37
170,0.4659999999999999
171,0.4659999999999999
172,-0.010000000000000002
173,0.4659999999999999
174,0.4659999999999999
175,0.235
176,0.4659999999999999
177,-0.225
178,0.18
179,0.4659999999999999
180,0.255
181,0.35000000000000003
182,0.47000000000000003
183,-0.17
184,-0.010000000000000002
185,-0.05000000000000002
186,0.22999999999999998
187,0.155
188,0.395
189,0.24
190,0.06
191,-0.17500000000000002
192,0.03
193,0.4659999999999999
194,0.23500000000000001
195,0.215
196,-0.024999999999999994
197,0.175
198,0.425
199,0.4659999999999999
200,0.41000000000000003
201,0.425
202,0.44
203,0.4659999999999999
204,0.195
205,0.565
206,0.35
207,0.4
208,0.4659999999999999
209,0.66
210,0.32999999999999996
211,0.035
212,0.57
213,0.39
214,0.4659999999999999
215,-0.15000000000000002
216,0.26999999999999996
217,0.07999999999999999
218,0.12
219,0.42
220,0.10499999999999998
221,0.4659999999999999
222,0.19
223,0.13
224,0.495
225,-0.024999999999999994
226,0.4659999999999999
227,0.015
228,0.315
229,0.03
230,0.4659999999999999
231,0.4659999999999999
232,0.065
233,0.02999999999999997
234,0.4659999999999999
235,0.4659999999999999
236,-0.030000000000000027
237,0.45499999999999996
238,0.024999999999999994
239,0.32
240,0.31
241,0.135
242,-0.16999999999999998
243,0.425
244,0.385
245,0.044999999999999984
246,0.04000000000000001
247,0.255
248,0.4659999999999999
249,0.54
250,0.355
251,0.4659999999999999
252,0.13
253,0.4659999999999999
254,0.5249999999999999
255,0.28
256,-0.08
257,-0.27
258,0.03
259,0.4659999999999999
260,0.31999999999999995
261,0.4659999999999999
262,0.13
263,0.065
264,0.08499999999999999
265,-0.065
266,0.4659999999999999
267,0.4659999999999999
268,-0.13000000000000003
269,0.42
270,0.135
271,0.06599999999999995
272,0.06599999999999995
273,0.065
274,0.28
275,0.044999999999999984
276,0.06599999999999995
277,0.4
278,0.06599999999999995
279,0.3
280,0.06599999999999995
281,0.255
282,0.06599999999999995
283,0.05
284,0.16
285,0.06599999999999995
286,0.16
287,0.06599999999999995
288,0.06599999999999995
289,0.06599999999999995
290,0.16499999999999998
291,0.12
292,0.06599999999999995
293,0.23000000000000004
294,0.48
295,0.06599999999999995
296,0.465
297,0.08
298,0.06599999999999995
299,0.12
300,0.1
301,0.06599999999999995
302,0.06599999999999995
303,0.06599999999999995
304,0.03
305,0.06599999999999995
306,0.095
307,0.06599999999999995
308,0.19
309,0.06599999999999995
310,0.06599999999999995
311,0.06599999999999995
312,0.33999999999999997
313,0.06599999999999995
314,0.06599999999999995
315,0.52
316,0.06599999999999995
317,0.11
318,-0.08
319,0.06599999999999995
320,0.065
321,0.02
322,0.48
323,0.034999999999999996
324,0.23500000000000001
325,-0.09
326,0.27
327,0.06599999999999995
328,-0.15000000000000002
329,0.195
330,-0.185
331,0.345
332,0.044999999999999984
333,0.06599999999999995
334,0.08499999999999999
335,0.31999999999999995
336,0.06599999999999995
337,0.49000000000000005
338,-0.065
339,0.06599999999999995
340,0.06599999999999995
341,0.06599999999999995
342,0.245
343,0.06599999999999995
344,0.044999999999999984
345,0.155
346,0.06599999999999995
347,0.015
348,0.06599999999999995
349,-0.14
350,0.07500000000000001
351,0.16
352,0.56
353,0.35000000000000003
354,0.06599999999999995
355,-0.010000000000000002
356,0.65
357,0.445
358,0.06599999999999995
359,0.06599999999999995
360,0.295
361,0.06599999999999995
362,0.0049999999999999906
363,0.12
364,0.10499999999999998
365,0.095
366,0.06599999999999995
367,0.15000000000000002
368,0.06599999999999995
369,0.345
370,0.06599999999999995
371,0.06599999999999995
372,0.445
373,0.465
374,0.06599999999999995
375,0.06599999999999995
376,0.31
377,0.445
378,0.56
379,0.38
380,0.06599999999999995
381,0.58
382,0.45
383,0.11500000000000002
384,0.06599999999999995
385,0.06599999999999995
386,0.32
387,0.06599999999999995
388,0.06599999999999995
389,0.295
390,0.07999999999999999
391,0.06599999999999995
392,0.18000000000000002
393,0.06599999999999995
394,0.06
395,0.08
396,-0.09
397,0.05
398,0.06599999999999995
399,0.06599999999999995
400,-0.07
401,0.06599999999999995
402,-0.025
403,0.24000000000000002
404,-0.18
405,-0.015000000000000013
406,0.06599999999999995
407,0.06599999999999995
408,0.5
409,0.48500000000000004
410,0.33499999999999996
411,0.125
412,0.4
413,0.31
414,0.565
415,0.42000000000000004
416,0.065
417,0.33999999999999997
418,-0.09500000000000001
419,0.065
420,0.09000000000000001
421,0.4659999999999999
422,0.4659999999999999
423,0.05
424,0.06999999999999999
425,0.4
426,0.4659999999999999
427,0.24
428,0.4659999999999999
429,0.31
430,0.4659999999999999
431,0.695
432,0.4659999999999999
433,0.66
434,0.28
435,0.4659999999999999
436,-0.1
437,0.4659999999999999
438,0.4659999999999999
439,0.4659999999999999
440,0.4659999999999999
441,0.615
442,0.4659999999999999
443,0.415
444,0.31
445,0.4659999999999999
446,0.295
447,0.26
448,0.4659999999999999
449,0.2
450,0.5549999999999999
451,0.4659999999999999
452,0.4659999999999999
453,0.4659999999999999
454,0.07500000000000001
455,0.4659999999999999
456,0.09000000000000001
457,0.4659999999999999
458,0.4659999999999999
459,0.4659999999999999
460,0.4659999999999999
461,0.4659999999999999
462,0.34
463,0.4659999999999999
464,0.4659999999999999
465,0.65
466,0.4659999999999999
467,0.4659999999999999
468,0.195
469,0.4659999999999999
470,0.23500000000000001
471,0.41000000000000003
472,0.39
473,0.43
474,0.195
475,0.295
476,0.13
477,0.4659999999999999
478,0.17500000000000002
479,-0.145
480,0.4659999999999999
481,0.56
482,0.4659999999999999
483,0.4659999999999999
484,0.16999999999999998
485,0.034999999999999996
486,0.4659999999999999
487,0.42
488,0.34
489,0.4659999999999999
490,0.4659999999999999
491,0.4659999999999999
492,0.635
493,0.4659999999999999
494,0.62
495,0.46
496,0.4659999999999999
497,0.09000000000000001
498,0.4659999999999999
499,0.315
500,0.555
501,0.4659999999999999
502,0.4659999999999999
503,0.06999999999999999
504,0.4659999999999999
505,0.055
506,0.4659999999999999
507,0.4659999999999999
508,0.4659999999999999
509,0.4659999999999999
510,0.4659999999999999
511,0.415
512,0.4659999999999999
513,0.5049999999999999
514,0.4600000000000001
515,0.4659999999999999
516,0.425
517,0.4659999999999999
518,0.4659999999999999
519,0.4659999999999999
520,0.4659999999999999
521,0.375
522,0.4659999999999999
523,0.43
524,0.39
525,0.4659999999999999
526,0.4659999999999999
527,0.17500000000000002
528,0.4659999999999999
529,0.16499999999999998
530,0.4659999999999999
531,0.4659999999999999
532,0.4659999999999999
533,0.4659999999999999
534,0.5549999999999999
535,0.4659999999999999
536,0.41000000000000003
537,0.4659999999999999
538,0.4659999999999999
539,0.4659999999999999
540,0.4659999999999999
541,0.4659999999999999
542,0.185
543,0.4659999999999999
544,0.4659999999999999
545,0.4659999999999999
546,0.4659999999999999
547,0.4659999999999999
548,0.49000000000000005
549,0.4659999999999999
550,0.4659999999999999
551,0.16999999999999998
552,0.11499999999999999
553,0.26
554,0.044999999999999984
555,0.325
556,0.23000000000000004
557,0.4659999999999999
558,0.42
559,0.1
560,0.4659999999999999
561,0.4659999999999999
562,0.4659999999999999
563,0.4659999999999999
564,0.4659999999999999
565,0.68
566,0.4659999999999999
567,0.05499999999999999
568,0.465
569,0.4659999999999999
570,0.4659999999999999
571,0.4659999999999999
572,0.4659999999999999
573,0.4659999999999999
574,-0.09
575,0.625
576,0.4659999999999999
577,0.4659999999999999
578,0.4659999999999999
579,0.44
580,0.19
581,0.09000000000000001
582,0.575
583,0.065
584,0.4659999999999999
585,0.52
586,0.11
587,0.57
588,0.4659999999999999
589,0.4659999999999999
590,0.135
591,0.4659999999999999
592,0.01999999999999999
593,0.42
594,0.14
595,0.36
596,0.4659999999999999
597,0.1
598,0.4659999999999999
599,0.40499999999999997
600,0.4659999999999999
601,0.4659999999999999
602,-0.11500000000000002
603,0.54
604,0.4659999999999999
605,0.4659999999999999
606,-0.02
607,0.135
608,0.015
609,-0.05500000000000001
610,0.4659999999999999
611,-0.105
612,-0.09500000000000001
613,-0.17500000000000002
614,0.4659999999999999
615,0.4659999999999999
616,0.74
617,0.4659999999999999
618,0.4659999999999999
619,0.365
